Province,num_poor_urb,num_poor_rur,num_poor_tot,perc_poor_urb,perc_poor_rur,perc_poor_tot,pov_line_urb,pov_line_rur,pov_line_tot,pov_gap_urb,pov_gap_rur,pov_gap_tot,pov_sev_urb,pov_sev_rur,pov_sev_tot
Aceh,173.4,688.5,861.9,14.65,23.54,20.98,308 306,266 285,278 389,2.83,4.63,4.11,0.79,1.45,1.26
Sumatera Utara,689,801.9,1 490.90,11.34,11.29,11.31,247 547,201 810,222 898,2.01,2.07,2.04,0.54,0.59,0.57
Sumatera Barat,106.2,323.8,430,6.84,10.88,9.5,262 173,214 458,230 823,1.16,1.67,1.49,0.27,0.39,0.35
Riau,208.9,291.3,500.3,7.17,10.15,8.65,276 627,235 267,256 112,0.88,1.89,1.38,0.17,0.57,0.37
Jambi,110.8,130.8,241.6,11.8,6.67,8.34,262 826,193 834,216 187,1.62,0.78,1.05,0.42,0.14,0.23
Sumatera Selatan,471.2,654.5,1 125.70,16.73,14.67,15.47,258 304,198 572,221 687,2.72,2.57,2.63,0.71,0.71,0.71
Bengkulu,117.2,207.7,324.9,18.75,18.05,18.3,255 762,209 616,225 857,3.16,2.53,2.75,0.93,0.56,0.69
Lampung,301.7,1 178.20,1 479.90,14.3,20.65,18.94,236 098,189 954,202 414,2.53,3.14,2.98,0.66,0.75,0.72
Bangka Belitung,21.9,45.9,67.8,4.39,8.45,6.51,289 644,283 302,286 334,0.54,1.28,0.93,0.11,0.33,0.23
Kepulauan Riau,67.1,62.6,129.7,7.87,8.24,8.05,321 668,265 258,295 095,1.25,0.83,1.05,0.33,0.15,0.25
DKI Jakarta,312.2,-,312.2,3.48,-,3.48,331 169,-,331 169,0.45,-,0.45,0.11,-,0.11
Jawa Barat,2 350.50,2 423.20,4 773.70,9.43,13.88,11.27,212 210,185 335,201 138,1.64,2.35,1.93,0.44,0.64,0.52
Jawa Tengah,2 258.90,3 110.20,5 369.20,14.33,18.66,16.56,205 606,179 982,192 435,2.09,2.86,2.49,0.5,0.69,0.6
DI Yogyakarta,308.4,268.9,577.3,13.98,21.95,16.83,240 282,195 406,224 258,2.27,3.89,2.85,0.56,1.02,0.73
Jawa Timur,1 873.50,3 655.80,5 529.30,10.58,19.74,15.26,213 383,185 879,199 327,1.53,3.18,2.38,0.37,0.79,0.59
Banten,318.3,439.9,758.2,4.99,10.44,7.16,220 771,188 741,208 023,0.79,1.3,1,0.22,0.28,0.24
Bali,83.6,91.3,174.9,4.04,6.02,4.88,222 868,188 071,208 152,0.52,0.96,0.71,0.08,0.22,0.14
Nusa Tenggara Barat,552.6,456.7,1 009.40,28.16,16.78,21.55,223 784,176 283,196 185,5.65,2.41,3.77,1.63,0.56,1.01
Nusa Tenggara Timur,107.4,906.7,1 014.10,13.57,25.1,23.03,241 807,160 743,175 308,3.12,5.09,4.74,1,1.53,1.43
Kalimantan Barat,83.4,345.3,428.8,6.31,10.06,9.02,207 884,182 293,189 407,0.82,1.31,1.18,0.18,0.27,0.24
Kalimantan Tengah,33.2,131,164.2,4.03,8.19,6.77,220 658,212 790,215 466,0.86,1.1,1.02,0.24,0.24,0.24
Kalimantan selatan,65.8,116.2,182,4.54,5.69,5.21,230 712,196 753,210 850,0.57,0.77,0.69,0.12,0.22,0.18
Kalimantan Timur,79.2,163.8,243,4.02,13.66,7.66,307 479,248 583,285 218,0.57,2.44,1.27,0.12,0.7,0.34
Sulawesi Utara,76.4,130.3,206.7,7.75,10.14,9.1,202 469,188 096,194 334,1.12,1.16,1.14,0.3,0.19,0.24
Sulawesi Tengah,54.2,420.8,475,9.82,20.26,18.07,231 225,195 795,203 237,1.81,3.43,3.09,0.45,0.89,0.8
Sulawesi Selatan,119.2,794.2,913.4,4.7,14.88,11.6,186 693,151 879,163 089,0.55,2.55,1.91,0.1,0.68,0.49
Sulawesi Tenggara,22.2,378.5,400.7,4.1,20.92,17.05,177 787,161 451,165 208,1.1,3.8,3.18,0.38,1.04,0.89
Gorontalo,17.8,192,209.9,6.29,30.89,23.19,180 606,167 162,171 371,0.88,5.63,4.14,0.17,1.37,1
Sulawesi Barat,33.7,107.6,141.3,9.7,15.52,13.58,182 206,165 914,171 356,0.84,1.9,1.55,0.12,0.46,0.35
Maluku,36.3,342.3,378.6,10.2,33.94,27.74,249 895,217 599,226 030,1.36,6.59,5.23,0.27,1.9,1.47
Maluku Utara,7.6,83.4,91.1,2.66,12.28,9.42,238 533,202 185,212 982,0.06,2.07,1.47,0,0.46,0.33
Papua Barat,9.6,246.7,256.3,5.73,43.48,34.88,319 170,287 512,294 727,1.14,13.22,10.47,0.36,5.47,4.3
Papua,26.2,735.4,761.6,5.55,46.02,36.8,298 285,247 563,259 128,0.78,11.89,9.36,0.17,4.32,3.37
